기간,자치구,동,계,계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
기간,자치구,동,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,은평구,불광1동,63,141,-,-,1,30,27,75,-,-,-,-,-,-,-,-,-,-,-,21,-,1,36,13,-,-,-
2017,은평구,갈현1동,43,385,1,200,-,-,19,12,-,1,150,-,-,-,-,-,-,-,-,14,-,-,-,8,23,-,-
2017,은평구,갈현2동,27,80,-,-,1,80,12,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
2017,은평구,구산동,27,257,-,-,1,83,12,-,-,1,174,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,은평구,대조동,95,159,-,-,1,70,58,89,-,-,-,-,-,-,-,-,-,1,-,18,-,-,-,17,-,-,-
2017,은평구,응암1동,64,581,-,-,1,90,33,49,-,2,442,-,-,-,-,-,-,-,-,22,-,-,-,6,-,-,-
2017,은평구,응암2동,12,423,-,-,-,-,5,-,-,1,148,-,-,-,-,1,275,-,-,2,-,-,-,3,-,-,-
2017,은평구,신사1동,35,93,-,-,-,-,18,59,-,-,-,-,-,-,-,-,-,-,-,10,-,1,34,6,-,-,-
2017,은평구,신사2동,12,1,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,은평구,증산동,22,29,-,-,-,-,11,29,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
2017,은평구,수색동,13,29,-,-,-,-,7,29,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,1,-,-,-
2017,은평구,진관동,54,38,-,-,-,-,25,26,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,13,12,-,-
2017,은평구,불광2동,30,20,-,-,-,-,14,20,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,10,-,-,-
2017,은평구,응암3동,57,93,-,-,1,60,31,33,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,16,-,-,-
2017,은평구,역촌동,48,553,-,-,1,50,21,68,-,-,-,-,-,1,435,-,-,-,-,14,-,-,-,11,-,-,-
2017,서대문구,소계,432,"3,755",2,"2,667",4,178,206,340,-,3,435,-,-,-,-,-,-,2,7,120,-,1,108,94,20,-,-
2017,서대문구,천연동,33,3,-,-,-,-,13,3,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,9,-,-,-
2017,서대문구,홍제1동,45,16,-,-,-,-,24,16,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,11,-,-,-
2017,서대문구,홍제3동,39,90,-,-,2,90,21,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,5,-,-,-
2017,서대문구,홍제2동,23,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,-,-,-
2017,서대문구,홍은1동,13,191,-,-,-,-,5,49,-,1,142,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,서대문구,홍은2동,23,252,1,200,-,-,8,52,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,8,-,-,-
2017,서대문구,남가좌1동,27,92,-,-,1,54,16,38,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,4,-,-,-
2017,서대문구,남가좌2동,31,42,-,-,-,-,15,42,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,-,-,-
2017,서대문구,북가좌1동,21,117,-,-,-,-,11,2,-,1,115,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,서대문구,북가좌2동,32,39,-,-,-,-,14,19,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,7,20,-,-
2017,서대문구,충현동,17,2,-,-,-,-,8,2,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,서대문구,북아현동,20,26,-,-,-,-,11,26,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,5,-,-,-
2017,서대문구,신촌동,73,"2,529",1,"2,467",1,34,39,21,-,-,-,-,-,-,-,-,-,2,7,21,-,-,-,9,-,-,-
2017,서대문구,연희동,35,356,-,-,-,-,14,70,-,1,178,-,-,-,-,-,-,-,-,10,-,1,108,9,-,-,-
2017,마포구,소계,717,722,-,-,2,187,349,225,-,2,211,-,-,-,-,-,-,3,-,200,-,1,33,160,66,-,-
2017,마포구,용강동,11,31,-,-,1,30,5,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-
2017,마포구,대흥동,83,4,-,-,-,-,44,4,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,18,-,-,-
2017,마포구,염리동,15,4,-,-,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-
2017,마포구,신수동,20,163,-,-,1,157,8,6,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
2017,마포구,서교동,152,125,-,-,-,-,88,96,-,-,-,-,-,-,-,-,-,2,-,34,-,-,-,28,29,-,-
2017,마포구,합정동,31,43,-,-,-,-,16,10,-,-,-,-,-,-,-,-,-,-,-,9,-,1,33,5,-,-,-
2017,마포구,망원1동,46,19,-,-,-,-,21,3,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,14,16,-,-
2017,마포구,망원2동,19,29,-,-,-,-,7,8,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6,21,-,-
2017,마포구,연남동,11,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,마포구,성산1동,13,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,5,-,-,-
2017,마포구,성산2동,32,121,-,-,-,-,14,1,-,1,120,-,-,-,-,-,-,-,-,12,-,-,-,5,-,-,-
2017,마포구,상암동,52,111,-,-,-,-,25,20,-,1,91,-,-,-,-,-,-,-,-,15,-,-,-,11,-,-,-
2017,마포구,도화동,79,14,-,-,-,-,43,14,-,-,-,-,-,-,-,-,-,1,-,24,-,-,-,11,-,-,-
2017,마포구,서강동,25,9,-,-,-,-,5,9,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,9,-,-,-
2017,마포구,공덕동,69,49,-,-,-,-,29,49,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,19,-,-,-
2017,마포구,아현동,59,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,13,-,-,-
2017,양천구,소계,621,"2,757",2,"1,064",5,750,274,383,-,3,279,-,-,-,-,-,-,4,-,177,-,3,192,153,89,-,-
2017,양천구,목1동,88,316,-,-,1,169,39,22,-,-,-,-,-,-,-,-,-,-,-,24,-,2,125,22,-,-,-
2017,양천구,목2동,29,61,-,-,1,31,9,1,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,10,29,-,-
2017,양천구,목3동,54,15,-,-,-,-,26,1,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,14,14,-,-
2017,양천구,목4동,41,1,-,-,-,-,18,1,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,11,-,-,-
2017,양천구,신월1동,21,80,-,-,-,-,9,55,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,25,-,-
2017,양천구,신월2동,17,36,-,-,-,-,8,36,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,양천구,신월3동,10,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
2017,양천구,신월4동,18,97,-,-,-,-,8,30,-,-,-,-,-,-,-,-,-,-,-,5,-,1,67,4,-,-,-
2017,양천구,신월5동,12,145,-,-,1,121,4,24,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,양천구,신월6동,19,235,-,-,1,96,12,37,-,1,99,-,-,-,-,-,-,-,-,2,-,-,-,3,3,-,-
2017,양천구,신월7동,22,2,-,-,-,-,12,2,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-
2017,양천구,신정1동,32,30,-,-,-,-,13,30,-,-,-,-,-,-,-,-,-,1,-,10,-,-,-,8,-,-,-
2017,양천구,신정2동,29,20,-,-,-,-,14,20,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,7,-,-,-
2017,양천구,신정3동,56,384,-,-,1,333,28,49,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,11,2,-,-
2017,양천구,신정6동,10,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-
2017,양천구,신정7동,33,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,1,-,11,-,-,-,11,-,-,-
2017,양천구,목5동,47,805,1,802,-,-,18,3,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,9,-,-,-
2017,양천구,신정4동,83,530,1,262,-,-,38,72,-,2,180,-,-,-,-,-,-,2,-,20,-,-,-,20,16,-,-
2017,강서구,소계,777,"3,508",3,459,16,"1,366",358,544,-,5,831,-,-,-,-,-,-,3,-,207,-,3,183,182,125,-,-
2017,강서구,염창동,41,108,-,-,1,78,16,5,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,12,25,-,-
2017,강서구,등촌1동,39,253,-,-,1,88,19,38,-,1,127,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
2017,강서구,등촌2동,14,77,-,-,1,50,5,27,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,강서구,등촌3동,54,658,1,200,2,208,21,60,-,1,99,-,-,-,-,-,-,1,-,15,-,1,63,12,28,-,-
2017,강서구,화곡본동,37,79,-,-,1,58,20,6,-,-,-,-,-,-,-,-,-,2,-,7,-,-,-,7,15,-,-
2017,강서구,화곡2동,13,26,-,-,-,-,5,26,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,5,-,-,-
2017,강서구,화곡3동,39,60,-,-,-,-,19,46,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,9,14,-,-
2017,강서구,화곡4동,30,239,-,-,-,-,13,22,-,1,192,-,-,-,-,-,-,-,-,7,-,-,-,9,25,-,-
2017,강서구,화곡6동,31,26,-,-,-,-,13,8,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,8,18,-,-
2017,강서구,화곡8동,38,2,-,-,-,-,18,2,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,11,-,-,-
2017,강서구,가양1동,83,115,-,-,-,-,37,48,-,-,-,-,-,-,-,-,-,-,-,28,-,1,67,17,-,-,-
2017,강서구,가양2동,33,70,-,-,1,66,19,4,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,강서구,가양3동,9,1,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
2017,강서구,발산1동,65,311,1,100,1,193,29,18,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,15,-,-,-
2017,강서구,공항동,21,185,1,159,-,-,11,26,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
2017,강서구,방화1동,51,266,-,-,2,62,25,30,-,1,174,-,-,-,-,-,-,-,-,9,-,-,-,14,-,-,-
2017,강서구,방화2동,25,116,-,-,1,89,13,27,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
2017,강서구,방화3동,12,1,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,강서구,화곡1동,80,460,-,-,2,285,38,122,-,-,-,-,-,-,-,-,-,-,-,22,-,1,53,17,-,-,-
2017,강서구,우장산동,62,455,-,-,3,189,26,27,-,1,239,-,-,-,-,-,-,-,-,15,-,-,-,17,-,-,-
2017,구로구,소계,557,"3,893",2,"1,261",8,608,262,368,-,5,"1,110",1,430,-,-,-,-,2,-,166,-,1,67,109,47,1,2
2017,구로구,신도림동,52,5,-,-,-,-,29,5,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,10,-,-,-
2017,구로구,구로1동,15,29,-,-,-,-,7,29,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,구로구,구로3동,63,131,-,-,1,91,28,40,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,12,-,-,-
2017,구로구,구로4동,64,48,-,-,-,-,31,46,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,15,-,1,2
2017,구로구,구로5동,51,349,-,-,2,84,26,32,-,1,233,-,-,-,-,-,-,2,-,12,-,-,-,8,-,-,-
2017,구로구,고척1동,34,303,1,207,-,-,12,29,-,-,-,-,-,-,-,-,-,-,-,12,-,1,67,8,-,-,-
2017,구로구,고척2동,37,193,-,-,1,31,20,27,-,1,106,-,-,-,-,-,-,-,-,8,-,-,-,7,29,-,-
2017,구로구,개봉2동,43,120,-,-,-,-,18,30,-,1,90,-,-,-,-,-,-,-,-,16,-,-,-,8,-,-,-
2017,구로구,개봉3동,22,28,-,-,-,-,12,28,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,-,-,-
2017,구로구,오류1동,41,129,-,-,1,95,19,34,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,9,-,-,-
2017,구로구,오류2동,31,66,-,-,1,43,14,23,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,6,-,-,-
2017,구로구,수궁동,11,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-
2017,구로구,가리봉동,12,681,-,-,-,-,4,-,-,2,681,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-
2017,구로구,구로2동,50,"1,141",1,"1,054",1,65,24,4,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,9,18,-,-
2017,구로구,개봉1동,31,670,-,-,1,199,14,41,-,-,-,1,430,-,-,-,-,-,-,8,-,-,-,7,-,-,-
2017,금천구,소계,330,"2,035",1,236,6,704,143,388,-,4,621,-,-,-,-,-,-,-,-,101,-,1,47,74,39,-,-
2017,금천구,가산동,65,268,-,-,1,234,25,34,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,11,-,-,-
2017,금천구,독산1동,40,430,-,-,2,232,22,81,-,1,88,-,-,-,-,-,-,-,-,8,-,-,-,7,29,-,-
2017,금천구,독산2동,27,31,-,-,-,-,11,31,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,-,-,-
2017,금천구,독산3동,37,554,-,-,-,-,16,113,-,2,394,-,-,-,-,-,-,-,-,11,-,1,47,7,-,-,-
2017,금천구,독산4동,10,57,-,-,1,57,2,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,금천구,시흥1동,83,673,1,236,2,181,33,117,-,1,139,-,-,-,-,-,-,-,-,26,-,-,-,20,-,-,-
2017,금천구,시흥2동,11,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-
2017,금천구,시흥3동,8,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
2017,금천구,시흥4동,21,10,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,7,10,-,-
2017,금천구,시흥5동,28,12,-,-,-,-,14,12,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,7,-,-,-
2017,영등포구,소계,729,"5,604",7,"2,129",9,998,317,434,10,11,"1,934",-,-,-,-,-,-,2,-,226,-,2,95,145,14,-,-
2017,영등포구,여의동,154,485,1,441,-,-,66,44,9,-,-,-,-,-,-,-,-,2,-,53,-,-,-,23,-,-,-
2017,영등포구,당산1동,34,98,-,-,1,89,10,9,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,10,-,-,-
2017,영등포구,당산2동,75,38,-,-,-,-,34,24,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,19,14,-,-
2017,영등포구,양평1동,17,83,-,-,1,83,6,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,4,-,-,-
2017,영등포구,양평2동,24,468,-,-,-,-,7,78,-,2,390,-,-,-,-,-,-,-,-,9,-,-,-,6,-,-,-
2017,영등포구,신길1동,25,366,1,310,1,46,10,10,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,영등포구,신길3동,36,259,-,-,1,181,22,78,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
2017,영등포구,신길4동,12,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
2017,영등포구,신길5동,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-
2017,영등포구,신길6동,36,109,-,-,1,80,17,29,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,5,-,-,-
2017,영등포구,신길7동,14,278,-,-,-,-,5,2,-,1,276,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,영등포구,대림1동,23,742,2,731,-,-,9,11,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6,-,-,-
2017,영등포구,대림2동,30,456,1,243,1,143,14,30,-,-,-,-,-,-,-,-,-,-,-,7,-,1,40,6,-,-,-
2017,영등포구,대림3동,35,675,-,-,1,230,13,51,-,2,339,-,-,-,-,-,-,-,-,9,-,1,55,9,-,-,-
2017,영등포구,영등포본동,17,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
2017,영등포구,영등포동,126,"1,396",2,404,2,146,60,32,1,5,814,-,-,-,-,-,-,-,-,38,-,-,-,18,-,-,-
2017,영등포구,도림동,17,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,7,-,-,-
2017,영등포구,문래동,50,151,-,-,-,-,24,36,-,1,115,-,-,-,-,-,-,-,-,17,-,-,-,8,-,-,-
2017,동작구,소계,560,"2,865",2,"1,599",5,401,251,266,-,3,522,-,-,-,-,-,-,1,-,168,-,1,30,129,47,-,-
2017,동작구,노량진2동,14,62,-,-,1,56,6,6,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,4,-,-,-
2017,동작구,상도1동,47,88,-,-,1,83,17,5,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,11,-,-,-
2017,동작구,상도2동,51,37,-,-,-,-,23,37,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,11,-,-,-
2017,동작구,상도3동,31,2,-,-,-,-,13,2,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
2017,동작구,상도4동,26,340,-,-,1,156,9,-,-,1,157,-,-,-,-,-,-,-,-,9,-,-,-,6,27,-,-
2017,동작구,사당1동,66,140,-,-,2,106,30,34,-,-,-,-,-,-,-,-,-,1,-,20,-,-,-,13,-,-,-
2017,동작구,사당3동,16,7,-,-,-,-,8,7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,5,-,-,-
2017,동작구,사당4동,38,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,11,-,-,-
2017,동작구,사당5동,5,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
2017,동작구,대방동,60,255,-,-,-,-,31,60,-,1,175,-,-,-,-,-,-,-,-,15,-,-,-,13,20,-,-
2017,동작구,신대방1동,35,221,-,-,-,-,18,31,-,1,190,-,-,-,-,-,-,-,-,10,-,-,-,6,-,-,-
2017,동작구,신대방2동,33,828,1,763,-,-,16,35,-,-,-,-,-,-,-,-,-,-,-,9,-,1,30,6,-,-,-
2017,동작구,흑석동,43,858,1,836,-,-,22,22,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,8,-,-,-
2017,동작구,노량진1동,31,4,-,-,-,-,13,4,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
2017,동작구,사당2동,64,23,-,-,-,-,28,23,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,18,-,-,-
2017,관악구,소계,673,"2,341",2,479,8,515,300,577,-,3,692,-,-,-,-,-,-,1,-,205,-,-,-,154,78,-,-
2017,관악구,보라매동,25,31,-,-,-,-,9,31,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,7,-,-,-
2017,관악구,청림동,10,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-
2017,관악구,행운동,54,231,1,185,-,-,25,46,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,15,-,-,-
2017,관악구,낙성대동,40,109,-,-,1,78,16,31,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,5,-,-,-
2017,관악구,중앙동,56,102,-,-,1,37,27,41,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,9,24,-,-
2017,관악구,인헌동,44,2,-,-,-,-,20,2,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,11,-,-,-
2017,관악구,남현동,29,3,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,7,3,-,-
2017,관악구,서원동,34,420,1,294,1,95,13,31,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,9,-,-,-
2017,관악구,신원동,18,20,-,-,-,-,9,20,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,5,-,-,-
2017,관악구,서림동,19,1,-,-,-,-,9,1,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,-,-,-
2017,관악구,신사동,25,1,-,-,-,-,10,1,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,6,-,-,-
2017,관악구,신림동,63,215,-,-,-,-,31,36,-,1,179,-,-,-,-,-,-,-,-,17,-,-,-,14,-,-,-
2017,관악구,난향동,13,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,관악구,조원동,33,228,-,-,2,145,15,83,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,-,-,-
2017,관악구,대학동,25,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,1,-,10,-,-,-,3,-,-,-
2017,관악구,은천동,35,434,-,-,-,-,15,94,-,1,314,-,-,-,-,-,-,-,-,7,-,-,-,12,26,-,-
2017,관악구,성현동,23,25,-,-,-,-,10,25,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,관악구,청룡동,53,333,-,-,2,101,24,33,-,1,199,-,-,-,-,-,-,-,-,16,-,-,-,10,-,-,-
2017,관악구,난곡동,31,24,-,-,-,-,15,24,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,7,-,-,-
2017,관악구,삼성동,16,29,-,-,-,-,6,29,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,6,-,-,-
2017,관악구,미성동,27,133,-,-,1,59,14,49,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6,25,-,-
2017,서초구,소계,"1,229","3,543",1,"1,356",10,955,603,359,6,4,568,-,-,-,-,-,-,6,-,319,16,5,279,275,10,-,-
2017,서초구,서초1동,107,263,-,-,1,68,52,26,-,-,-,-,-,-,-,-,-,-,-,23,8,2,161,29,-,-,-
2017,서초구,서초2동,93,12,-,-,-,-,39,7,3,-,-,-,-,-,-,-,-,1,-,28,-,-,-,22,5,-,-
2017,서초구,서초3동,88,272,-,-,3,145,27,13,1,1,114,-,-,-,-,-,-,1,-,28,-,-,-,27,-,-,-
2017,서초구,서초4동,235,89,-,-,-,-,140,89,-,-,-,-,-,-,-,-,-,1,-,55,-,-,-,39,-,-,-
2017,서초구,잠원동,156,66,-,-,-,-,87,16,-,-,-,-,-,-,-,-,-,-,-,37,-,1,50,31,-,-,-
2017,서초구,반포본동,50,13,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,12,8,-,-,10,5,-,-
2017,서초구,반포1동,75,155,-,-,1,126,48,29,-,-,-,-,-,-,-,-,-,1,-,15,-,-,-,10,-,-,-
2017,서초구,반포2동,20,3,-,-,-,-,11,3,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
2017,서초구,반포3동,12,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,6,-,-,-
2017,서초구,반포4동,38,"1,457",1,"1,356",-,-,14,2,-,1,99,-,-,-,-,-,-,-,-,11,-,-,-,11,-,-,-
2017,서초구,방배본동,58,228,-,-,-,-,18,29,-,1,199,-,-,-,-,-,-,1,-,14,-,-,-,24,-,-,-
2017,서초구,방배1동,59,173,-,-,1,55,28,88,-,-,-,-,-,-,-,-,-,-,-,18,-,1,30,11,-,-,-
2017,서초구,방배2동,22,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,9,-,-,-
2017,서초구,방배3동,14,271,-,-,2,271,4,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,2,-,-,-
2017,서초구,방배4동,67,75,-,-,-,-,37,37,-,-,-,-,-,-,-,-,-,1,-,12,-,1,38,16,-,-,-
2017,서초구,양재1동,88,216,-,-,1,40,41,20,2,1,156,-,-,-,-,-,-,-,-,27,-,-,-,16,-,-,-
2017,서초구,양재2동,30,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,6,-,-,-
2017,서초구,내곡동,17,250,-,-,1,250,5,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,3,-,-,-
2017,강남구,소계,"2,559","8,082",4,"3,115",33,"2,067","1,543","1,516",4,6,796,-,-,-,-,-,-,16,13,573,52,8,507,372,16,-,-
2017,강남구,신사동,640,582,-,-,6,196,466,261,-,1,117,-,-,-,-,-,-,4,-,100,8,-,-,63,-,-,-
2017,강남구,논현1동,250,653,-,-,5,220,171,204,-,-,-,-,-,-,-,-,-,1,12,40,32,2,177,31,8,-,-
2017,강남구,논현2동,149,432,-,-,4,227,89,202,-,-,-,-,-,-,-,-,-,1,-,35,3,-,-,20,-,-,-
2017,강남구,삼성1동,92,389,-,-,3,112,46,45,-,1,181,-,-,-,-,-,-,2,1,28,-,1,50,11,-,-,-
2017,강남구,삼성2동,73,134,-,-,-,-,33,49,-,-,-,-,-,-,-,-,-,1,-,20,-,1,85,18,-,-,-
2017,강남구,대치1동,98,62,-,-,-,-,48,32,-,-,-,-,-,-,-,-,-,1,-,28,-,1,30,20,-,-,-
2017,강남구,대치4동,99,223,1,111,1,50,45,17,-,-,-,-,-,-,-,-,-,1,-,29,-,1,45,21,-,-,-
2017,강남구,역삼1동,403,645,1,200,4,159,245,275,-,-,-,-,-,-,-,-,-,2,-,102,5,-,-,49,6,-,-
2017,강남구,역삼2동,92,63,-,-,1,33,45,30,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,19,-,-,-
2017,강남구,도곡1동,86,"1,375",1,815,3,269,42,111,-,1,60,-,-,-,-,-,-,-,-,16,-,2,120,21,-,-,-
2017,강남구,도곡2동,45,27,-,-,-,-,22,27,3,-,-,-,-,-,-,-,-,-,-,15,-,-,-,5,-,-,-
2017,강남구,개포1동,8,131,-,-,-,-,3,-,-,2,131,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
2017,강남구,개포4동,33,34,-,-,-,-,16,34,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,8,-,-,-
2017,강남구,일원본동,19,"2,002",1,"1,989",-,-,5,13,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,4,-,-,-
2017,강남구,일원1동,22,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6,-,-,-
