기간,자치구,동,계,계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
기간,자치구,동,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,용산구,이태원1동,15,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,4,-,-,-
2017,용산구,이태원2동,7,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
2017,용산구,서빙고동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,용산구,보광동,21,45,-,-,-,-,12,45,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,용산구,청파동,17,92,-,-,1,92,5,-,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,6,-,-,-
2017,용산구,원효로1동,20,32,-,-,-,-,13,27,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,1,5
2017,용산구,한강로동,48,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,11,-,-,-
2017,용산구,한남동,31,727,1,727,-,-,10,-,1,-,-,-,-,-,-,-,-,-,-,12,-,-,-,7,-,-,-
2017,성동구,소계,432,"2,173",1,844,7,634,197,188,-,3,507,-,-,-,-,-,-,1,-,131,-,-,-,92,-,-,-
2017,성동구,왕십리2동,14,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
2017,성동구,마장동,20,46,-,-,-,-,9,46,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
2017,성동구,사근동,2,844,1,844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2017,성동구,행당1동,55,107,-,-,2,92,29,15,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,8,-,-,-
2017,성동구,행당2동,35,8,-,-,-,-,19,8,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,6,-,-,-
2017,성동구,응봉동,9,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,5,-,-,-
2017,성동구,금호1가동,15,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,성동구,금호4가동,28,162,-,-,1,134,14,28,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,성동구,성수1가1동,15,29,-,-,-,-,7,29,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,성동구,성수1가2동,11,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,-,-,-
2017,성동구,성수2가1동,34,230,-,-,1,80,15,1,-,1,149,-,-,-,-,-,-,-,-,12,-,-,-,5,-,-,-
2017,성동구,성수2가3동,25,11,-,-,-,-,10,11,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,6,-,-,-
2017,성동구,송정동,5,99,-,-,1,99,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
2017,성동구,용답동,27,367,-,-,-,-,11,9,-,2,358,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
2017,성동구,왕십리도선동,70,238,-,-,2,229,33,9,-,-,-,-,-,-,-,-,-,1,-,17,-,-,-,17,-,-,-
2017,성동구,금호2.3가동,36,29,-,-,-,-,18,29,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,7,-,-,-
2017,성동구,옥수동,31,2,-,-,-,-,12,2,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,7,-,-,-
2017,광진구,소계,543,"2,278",2,"1,087",3,179,261,547,-,2,229,-,-,-,-,1,200,2,-,151,-,-,-,121,36,-,-
2017,광진구,화양동,52,"1,016",1,854,-,-,28,9,-,1,153,-,-,-,-,-,-,1,-,13,-,-,-,8,-,-,-
2017,광진구,군자동,37,51,-,-,1,48,16,3,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,10,-,-,-
2017,광진구,중곡1동,32,99,-,-,-,-,13,99,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,10,-,-,-
2017,광진구,중곡2동,46,177,-,-,-,-,28,177,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,9,-,-,-
2017,광진구,중곡3동,23,226,-,-,-,-,13,16,-,-,-,-,-,-,-,1,200,-,-,5,-,-,-,4,10,-,-
2017,광진구,중곡4동,34,42,-,-,-,-,14,42,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,9,-,-,-
2017,광진구,능동,18,58,-,-,1,41,9,17,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,4,-,-,-
2017,광진구,구의1동,33,53,-,-,-,-,19,53,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,5,-,-,-
2017,광진구,구의2동,26,120,-,-,1,90,10,30,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,5,-,-,-
2017,광진구,구의3동,54,27,-,-,-,-,30,27,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,11,-,-,-
2017,광진구,광장동,32,27,-,-,-,-,11,1,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,7,26,-,-
2017,광진구,자양1동,57,243,1,233,-,-,24,10,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,17,-,-,-
2017,광진구,자양2동,27,31,-,-,-,-,9,31,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,5,-,-,-
2017,광진구,자양3동,29,1,-,-,-,-,16,1,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,광진구,자양4동,43,107,-,-,-,-,21,31,-,1,76,-,-,-,-,-,-,-,-,10,-,-,-,11,-,-,-
2017,동대문구,소계,605,"6,349",5,"2,035",14,"1,608",240,512,-,9,"1,480",-,-,-,-,1,500,3,26,154,-,1,183,177,-,1,5
2017,동대문구,회기동,13,"1,053",1,850,-,-,3,-,-,-,-,-,-,-,-,-,-,1,20,3,-,1,183,4,-,-,-
2017,동대문구,휘경1동,28,55,-,-,-,-,14,55,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
2017,동대문구,휘경2동,8,469,1,434,-,-,3,29,-,-,-,-,-,-,-,-,-,1,6,2,-,-,-,1,-,-,-
2017,동대문구,청량리동,51,827,1,224,-,-,28,13,-,1,90,-,-,-,-,1,500,-,-,16,-,-,-,4,-,-,-
2017,동대문구,용신동,64,"1,136",1,202,4,417,25,77,-,2,440,-,-,-,-,-,-,1,-,20,-,-,-,11,-,-,-
2017,동대문구,제기동,105,74,-,-,1,72,11,2,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,83,-,-,-
2017,동대문구,전농1동,39,96,-,-,1,30,20,66,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,7,-,-,-
2017,동대문구,전농2동,30,462,1,325,-,-,15,4,-,1,133,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
2017,동대문구,답십리1동,51,266,-,-,1,49,23,97,-,1,120,-,-,-,-,-,-,-,-,15,-,-,-,11,-,-,-
2017,동대문구,답십리2동,28,549,-,-,1,273,13,45,-,1,226,-,-,-,-,-,-,-,-,8,-,-,-,4,-,1,5
2017,동대문구,장안1동,69,767,-,-,4,576,34,48,-,1,143,-,-,-,-,-,-,-,-,17,-,-,-,13,-,-,-
2017,동대문구,장안2동,62,552,-,-,2,191,24,33,-,2,328,-,-,-,-,-,-,-,-,19,-,-,-,15,-,-,-
2017,동대문구,이문1동,41,43,-,-,-,-,18,43,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,11,-,-,-
