,code,dong
354,47012,대구시
355,47013,대구시
356,47014,대구시
357,47015,대구시
358,47016,대구시
359,47020,신안동시
360,47050,영주군
361,47110,포항시
362,47111,포항시
363,47113,포항시
364,47130,경주시
365,47150,김천시
366,47170,안동시
367,47190,구미시
368,47210,영주시
369,47230,영천시
370,47250,상주시
371,47270,점촌시
372,47280,문경시
373,47290,경산시
374,47710,달성군
375,47720,군위군
376,47730,의성군
377,47740,안동군
378,47750,청송군
379,47760,영양군
380,47770,영덕군
381,47780,영일군
382,47790,월성군
383,47795,경주군
384,47800,영천군
385,47810,경산군
386,47820,청도군
387,47830,고령군
388,47840,성주군
389,47850,칠곡군
390,47860,금릉군
391,47870,선산군
392,47880,상주군
393,47890,문경군
394,47900,예천군
395,47910,영풍군
396,47920,봉화군
397,47930,울진군
398,47940,울릉군
399,48010,부산시
400,48011,부산시
401,48012,부산시
402,48013,부산시
403,48014,부산시
404,48015,부산시
405,48016,부산시
406,48050,창원군
407,48060,울산군
408,48070,동래군
409,48110,창원시
410,48120,창원시
411,48121,창원시
412,48123,창원시
413,48125,창원시
414,48127,창원시
415,48129,창원시
416,48130,울산시
417,48131,울산시
418,48133,울산시
419,48135,울산시
420,48137,울산시
421,48150,마산시
422,48151,마산시
423,48153,마산시
424,48160,마산시
425,48170,진주시
426,48190,진해시
427,48210,충무시
428,48220,통영시
429,48230,삼천포시
430,48240,사천시
431,48250,김해시
432,48270,밀양시
433,48290,장승포시
434,48310,거제시
435,48330,양산시
436,48710,진양군
437,48720,의령군
438,48730,함안군
439,48740,창녕군
440,48750,밀양군
441,48760,양산군
442,48770,울주군
443,48775,울산군
444,48780,김해군
445,48790,의창군
446,48795,창원군
447,48800,통영군
448,48810,거제군
449,48820,고성군
450,48830,사천군
451,48840,남해군
452,48850,하동군
453,48860,산청군
454,48870,함양군
455,48880,거창군
456,48890,합천군
457,49110,제주시
458,49130,서귀포시
459,49710,북제주군
460,49720,남제주군
461,50110,제주시
462,50130,서귀포시
